2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | BACKTEST  BTC  30d  started 2026-04-04T04:30:11.860241+00:00
2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | Fetching BTC data for 30 days...
2026-04-04 11:30:50 | INFO    |   CLOSE TP | BUY BTC | entry=71320.0 exit=71806.75 pnl=+3.41% (+3.41 USDT) | bal=10010
2026-04-04 11:30:52 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70029.3 SL=70263.0733 TP=69678.6401 R:R=1.5 | mode=DOWNTREND score=4
2026-04-04 11:30:52 | INFO    |   CLOSE SL | SELL BTC | entry=70029.3 exit=70263.0733 pnl=-1.67% (-1.67 USDT) | bal=10008
2026-04-04 11:30:52 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=69980.8 SL=70216.152 TP=69627.772 R:R=1.5 | mode=DOWNTREND score=4
2026-04-04 11:30:52 | INFO    |   CLOSE TP | SELL BTC | entry=69980.8 exit=69627.772 pnl=+2.52% (+2.52 USDT) | bal=10011
2026-04-04 11:30:52 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=69264.6 SL=69533.4615 TP=68861.3078 R:R=1.5 | mode=DOWNTREND score=6
2026-04-04 11:30:52 | INFO    |   CLOSE SL | SELL BTC | entry=69264.6 exit=69533.4615 pnl=-1.94% (-1.94 USDT) | bal=10009
2026-04-04 11:30:53 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=69183.5 SL=69466.4588 TP=68759.0619 R:R=1.5 | mode=DOWNTREND score=3
2026-04-04 11:30:53 | INFO    |   CLOSE TP | SELL BTC | entry=69183.5 exit=68759.0619 pnl=+3.07% (+3.07 USDT) | bal=10012
2026-04-04 11:30:53 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70025.6 SL=70360.064 TP=69523.904 R:R=1.5 | mode=DOWNTREND score=4
2026-04-04 11:30:53 | INFO    |   CLOSE SL | SELL BTC | entry=70025.6 exit=70360.064 pnl=-2.39% (-2.39 USDT) | bal=10009
2026-04-04 11:30:55 | INFO    |   Progress 4320/8640 (50%) | balance=10009 trades=58
2026-04-04 11:30:55 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=70538.4 SL=70800.046 TP=70145.931 R:R=1.5 | mode=DOWNTREND score=4
2026-04-04 11:30:55 | INFO    |   CLOSE SL | SELL BTC | entry=70538.4 exit=70800.046 pnl=-1.85% (-1.86 USDT) | bal=10007
2026-04-04 11:30:57 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70165.9 SL=70400.4147 TP=69814.1279 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:57 | INFO    |   CLOSE TP | SELL BTC | entry=70165.9 exit=69814.1279 pnl=+2.51% (+2.51 USDT) | bal=10010
2026-04-04 11:30:57 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70510.7 SL=70896.8768 TP=69931.4349 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:57 | INFO    |   CLOSE SL | SELL BTC | entry=70510.7 exit=70896.8768 pnl=-2.74% (-2.74 USDT) | bal=10007
2026-04-04 11:30:57 | INFO    |   Progress 4752/8640 (55%) | balance=10007 trades=61
2026-04-04 11:30:59 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=69361.6 SL=69666.604 TP=68904.094 R:R=1.5 | mode=DOWNTREND score=3
2026-04-04 11:30:59 | INFO    |   CLOSE TP | SELL BTC | entry=69361.6 exit=68904.094 pnl=+3.30% (+3.30 USDT) | bal=10011
2026-04-04 11:30:59 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=68601.1 SL=68815.7027 TP=68279.1959 R:R=1.5 | mode=DOWNTREND score=3
2026-04-04 11:30:59 | INFO    |   CLOSE TP | SELL BTC | entry=68601.1 exit=68279.1959 pnl=+2.35% (+2.35 USDT) | bal=10013
2026-04-04 11:31:00 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=68635.0 SL=68878.0875 TP=68270.3688 R:R=1.5 | mode=DOWNTREND score=3
2026-04-04 11:31:00 | INFO    |   CLOSE TP | SELL BTC | entry=68635.0 exit=68270.3688 pnl=+2.66% (+2.66 USDT) | bal=10016
2026-04-04 11:31:00 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=68126.2 SL=68544.1155 TP=67499.3267 R:R=1.5 | mode=DOWNTREND score=6
2026-04-04 11:31:00 | INFO    |   CLOSE TP | SELL BTC | entry=68126.2 exit=67499.3267 pnl=+4.60% (+4.61 USDT) | bal=10020
2026-04-04 11:31:01 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=67965.5 SL=68300.5138 TP=67462.9794 R:R=1.5 | mode=DOWNTREND score=3
2026-04-04 11:31:01 | INFO    |   CLOSE TP | SELL BTC | entry=67965.5 exit=67462.9794 pnl=+3.70% (+3.70 USDT) | bal=10024
2026-04-04 11:31:02 | INFO    |   Progress 5184/8640 (60%) | balance=10024 trades=66
2026-04-04 11:31:03 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=71408.3 SL=71746.2207 TP=70901.4189 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:31:03 | INFO    |   CLOSE TP | SELL BTC | entry=71408.3 exit=70901.4189 pnl=+3.55% (+3.56 USDT) | bal=10027
2026-04-04 11:31:03 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70755.1 SL=71088.0877 TP=70255.6184 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:31:03 | INFO    |   CLOSE TP | SELL BTC | entry=70755.1 exit=70255.6184 pnl=+3.53% (+3.54 USDT) | bal=10031
2026-04-04 11:31:03 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=70440.0 SL=70167.7 TP=70848.45 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:31:03 | INFO    |   CLOSE TP | BUY BTC | entry=70440.0 exit=70848.45 pnl=+2.90% (+2.91 USDT) | bal=10034
2026-04-04 11:31:05 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70190.1 SL=70500.7753 TP=69724.0871 R:R=1.5 | mode=SIDEWAY score=3
2026-04-04 11:31:05 | INFO    |   CLOSE SL | SELL BTC | entry=70190.1 exit=70500.7753 pnl=-2.21% (-2.22 USDT) | bal=10032
2026-04-04 11:31:07 | INFO    |   Progress 5616/8640 (65%) | balance=10032 trades=70
2026-04-04 11:31:07 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=69562.6 SL=69805.3065 TP=69198.5403 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:31:07 | INFO    |   CLOSE SL | SELL BTC | entry=69562.6 exit=69805.3065 pnl=-1.74% (-1.75 USDT) | bal=10030
2026-04-04 11:31:07 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=70037.2 SL=70308.193 TP=69630.7105 R:R=1.5 | mode=VOLATILE_RANGE score=4
2026-04-04 11:31:07 | INFO    |   CLOSE SL | SELL BTC | entry=70037.2 exit=70308.193 pnl=-1.93% (-1.94 USDT) | bal=10028
2026-04-04 11:31:07 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=70253.7 SL=69995.3657 TP=70641.2014 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:31:07 | INFO    |   CLOSE TP | BUY BTC | entry=70253.7 exit=70641.2014 pnl=+2.76% (+2.77 USDT) | bal=10031
