signal,entry,sl,tp,rr,setup,open_ts,mode,score,h1_trend,outcome,exit_price,exit_ts,pnl_pct,pnl_usdt,balance,held_min
BUY,68396.2,68064.5095,68893.7357,1.5,bullish_engulfing,2026-03-06T18:30:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,68064.5095,2026-03-06T19:45:00+00:00,-2.425,-2.43,10007.52,75.0
SELL,68487.4,68661.8748,68225.685,1.5,setup_E_bb_mean_reversion,2026-03-07T03:10:00+00:00,SIDEWAY,3,SIDEWAY,TP,68225.685,2026-03-07T03:20:00+00:00,1.911,1.91,10009.43,10.0
BUY,67665.7,67514.6686,67909.135,1.61,setup_E_bb_mean_reversion,2026-03-07T06:55:00+00:00,SIDEWAY,4,SIDEWAY,SL,67514.6686,2026-03-07T07:05:00+00:00,-1.116,-1.12,10008.32,10.0
SELL,67276.9,67613.1922,66772.4616,1.5,bearish_pinbar,2026-03-07T19:20:00+00:00,DOWNTREND,6,DOWNTREND,TP,66772.4616,2026-03-08T02:50:00+00:00,3.749,3.75,10012.07,450.0
SELL,66884.3,67168.6107,66457.8339,1.5,bearish_pinbar,2026-03-08T03:05:00+00:00,DOWNTREND,6,DOWNTREND,SL,67168.6107,2026-03-08T05:25:00+00:00,-2.125,-2.13,10009.94,140.0
SELL,66200.0,66507.6,65738.6,1.5,bearish_engulfing,2026-03-09T00:15:00+00:00,DOWNTREND,3,DOWNTREND,SL,66507.6,2026-03-09T00:30:00+00:00,-2.323,-2.33,10007.61,15.0
SELL,67792.8,68207.882,67170.177,1.5,bearish_engulfing,2026-03-09T05:50:00+00:00,VOLATILE_RANGE,4,DOWNTREND,TP,67170.177,2026-03-09T07:00:00+00:00,4.592,4.6,10012.21,70.0
SELL,67693.8,68017.5345,67208.1982,1.5,bearish_engulfing,2026-03-09T08:35:00+00:00,VOLATILE_RANGE,4,DOWNTREND,SL,68017.5345,2026-03-09T09:25:00+00:00,-2.391,-2.39,10009.82,50.0
SELL,67850.0,68118.125,67447.8125,1.5,bearish_pinbar,2026-03-09T10:20:00+00:00,VOLATILE_RANGE,3,DOWNTREND,TP,67447.8125,2026-03-09T11:15:00+00:00,2.964,2.97,10012.78,55.0
SELL,68928.9,69360.3222,68281.7666,1.5,bearish_pinbar,2026-03-09T16:50:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,68281.7666,2026-03-09T17:40:00+00:00,4.694,4.7,10017.48,50.0
